wma,period_start,period_end,site_id,site_name,date,ecoli_per_100ml,faecal_coliforms_per_100ml,turbidity_ntu,ph,temperature_c,risk_drinking_no_treatment,risk_drinking_limited_treatment,risk_contact,risk_irrigation_raw
Pongola_Mtamvuna,1990-01-01,1990-02-28,102626,Msunduze River at Henley Dam,1990-01-02,580.0,,26.0,8.1,22.7,HIGH,low,HIGH,low
Pongola_Mtamvuna,1990-01-01,1990-02-28,102626,Msunduze River at Henley Dam,1990-01-08,2100.0,,27.0,7.6,18.2,HIGH,Med,HIGH,Med
Pongola_Mtamvuna,1990-01-01,1990-02-28,102626,Msunduze River at Henley Dam,1990-01-15,12400.0,,200.0,7.6,22.2,HIGH,Med,HIGH,HIGH
Pongola_Mtamvuna,1990-01-01,1990-02-28,102626,Msunduze River at Henley Dam,1990-01-22,3500.0,,114.0,7.3,22.3,HIGH,Med,HIGH,Med
Pongola_Mtamvuna,1990-01-01,1990-02-28,102626,Msunduze River at Henley Dam,1990-01-29,2800.0,,28.0,7.4,23.8,HIGH,Med,HIGH,Med
Pongola_Mtamvuna,1990-01-01,1990-02-28,102626,Msunduze River at Henley Dam,1990-02-05,800.0,,25.0,7.8,25.9,HIGH,low,HIGH,low
Pongola_Mtamvuna,1990-01-01,1990-02-28,102626,Msunduze River at Henley Dam,1990-02-12,910.0,,32.0,7.6,19.9,HIGH,low,HIGH,low
Pongola_Mtamvuna,1990-01-01,1990-02-28,102626,Msunduze River at Henley Dam,1990-02-19,3400.0,,78.0,8.9,23.4,HIGH,Med,HIGH,Med
Pongola_Mtamvuna,1990-01-01,1990-02-28,102627,Sterk River at Groothoek (Mpolweni),1990-01-02,1100.0,,15.0,7.5,25.7,HIGH,low,HIGH,Med
Pongola_Mtamvuna,1990-01-01,1990-02-28,102627,Sterk River at Groothoek (Mpolweni),1990-01-09,830.0,,12.0,7.7,23.1,HIGH,low,HIGH,low
Pongola_Mtamvuna,1990-01-01,1990-02-28,102627,Sterk River at Groothoek (Mpolweni),1990-01-16,580.0,,8.0,7.4,23.6,HIGH,low,HIGH,low
Pongola_Mtamvuna,1990-01-01,1990-02-28,102627,Sterk River at Groothoek (Mpolweni),1990-01-23,800.0,,9.0,7.2,24.5,HIGH,low,HIGH,low
Pongola_Mtamvuna,1990-01-01,1990-02-28,102627,Sterk River at Groothoek (Mpolweni),1990-01-30,1180.0,,11.0,8.0,26.5,HIGH,low,HIGH,Med
Pongola_Mtamvuna,1990-01-01,1990-02-28,102627,Sterk River at Groothoek (Mpolweni),1990-02-06,1700.0,,14.0,7.7,24.0,HIGH,low,HIGH,Med
Pongola_Mtamvuna,1990-01-01,1990-02-28,102627,Sterk River at Groothoek (Mpolweni),1990-02-13,4400.0,,10.0,7.8,21.3,HIGH,Med,HIGH,HIGH
Pongola_Mtamvuna,1990-01-01,1990-02-28,102627,Sterk River at Groothoek (Mpolweni),1990-02-20,490.0,,70.0,7.1,22.5,HIGH,low,HIGH,low
Pongola_Mtamvuna,1990-01-01,1990-02-28,102627,Sterk River at Groothoek (Mpolweni),1990-02-27,130.0,,15.0,7.5,22.6,HIGH,low,low,low
Pongola_Mtamvuna,1990-01-01,1990-02-28,102632,Msunduze River at Inanda/Nomfihlelo,1990-01-04,1100.0,,25.0,8.0,29.1,HIGH,low,HIGH,Med
Pongola_Mtamvuna,1990-01-01,1990-02-28,102632,Msunduze River at Inanda/Nomfihlelo,1990-01-11,1800.0,,112.0,7.6,22.4,HIGH,low,HIGH,Med
Pongola_Mtamvuna,1990-01-01,1990-02-28,102632,Msunduze River at Inanda/Nomfihlelo,1990-01-18,700.0,,40.0,7.5,25.8,HIGH,low,HIGH,low
Pongola_Mtamvuna,1990-01-01,1990-02-28,102632,Msunduze River at Inanda/Nomfihlelo,1990-01-25,3100.0,,187.0,8.2,28.8,HIGH,Med,HIGH,Med
Pongola_Mtamvuna,1990-01-01,1990-02-28,102632,Msunduze River at Inanda/Nomfihlelo,1990-02-01,1390.0,,26.0,7.8,26.7,HIGH,low,HIGH,Med
Pongola_Mtamvuna,1990-01-01,1990-02-28,102632,Msunduze River at Inanda/Nomfihlelo,1990-02-08,2500.0,,9.0,8.1,23.6,HIGH,Med,HIGH,Med
Pongola_Mtamvuna,1990-01-01,1990-02-28,102632,Msunduze River at Inanda/Nomfihlelo,1990-02-15,1100.0,,170.0,8.0,24.1,HIGH,low,HIGH,Med
Pongola_Mtamvuna,1990-01-01,1990-02-28,102632,Msunduze River at Inanda/Nomfihlelo,1990-02-22,11300.0,,404.0,8.0,20.7,HIGH,Med,HIGH,HIGH
Pongola_Mtamvuna,1990-01-01,1990-02-28,102662,Mgeni River at Inanda/Mumbundwini up/S Inanda Dam,1990-01-04,570.0,,22.0,7.8,27.7,HIGH,low,HIGH,low
Pongola_Mtamvuna,1990-01-01,1990-02-28,102662,Mgeni River at Inanda/Mumbundwini up/S Inanda Dam,1990-01-11,500.0,,32.0,7.7,22.8,HIGH,low,HIGH,low
Pongola_Mtamvuna,1990-01-01,1990-02-28,102662,Mgeni River at Inanda/Mumbundwini up/S Inanda Dam,1990-01-18,1210.0,,32.0,8.0,27.6,HIGH,low,HIGH,Med
Pongola_Mtamvuna,1990-01-01,1990-02-28,102662,Mgeni River at Inanda/Mumbundwini up/S Inanda Dam,1990-01-25,2200.0,,58.0,7.8,23.8,HIGH,Med,HIGH,Med
Pongola_Mtamvuna,1990-01-01,1990-02-28,102662,Mgeni River at Inanda/Mumbundwini up/S Inanda Dam,1990-02-01,8600.0,,52.0,7.8,28.0,HIGH,Med,HIGH,HIGH
Pongola_Mtamvuna,1990-01-01,1990-02-28,102662,Mgeni River at Inanda/Mumbundwini up/S Inanda Dam,1990-02-08,800.0,,65.0,7.6,24.3,HIGH,low,HIGH,low
Pongola_Mtamvuna,1990-01-01,1990-02-28,102662,Mgeni River at Inanda/Mumbundwini up/S Inanda Dam,1990-02-15,9000.0,,547.0,7.5,22.8,HIGH,Med,HIGH,HIGH
Pongola_Mtamvuna,1990-01-01,1990-02-28,102662,Mgeni River at Inanda/Mumbundwini up/S Inanda Dam,1990-02-22,19300.0,,428.0,7.5,19.5,HIGH,Med,HIGH,HIGH
Pongola_Mtamvuna,1990-01-01,1990-02-28,102674,Mdloti River at Roodekrans/Hazelmere Dam Inflow (Roodekrans),1990-01-12,4200.0,,59.0,8.5,26.5,HIGH,Med,HIGH,HIGH
Pongola_Mtamvuna,1990-01-01,1990-02-28,102674,Mdloti River at Roodekrans/Hazelmere Dam Inflow (Roodekrans),1990-02-09,4700.0,,79.0,7.9,27.6,HIGH,Med,HIGH,HIGH
Pongola_Mtamvuna,1990-01-01,1990-02-28,102674,Mdloti River at Roodekrans/Hazelmere Dam Inflow (Roodekrans),1990-02-16,3500.0,,298.0,8.4,23.4,HIGH,Med,HIGH,Med
Pongola_Mtamvuna,1990-01-01,1990-02-28,102674,Mdloti River at Roodekrans/Hazelmere Dam Inflow (Roodekrans),1990-02-23,11000.0,,1134.0,7.6,20.7,HIGH,Med,HIGH,HIGH
Pongola_Mtamvuna,1990-01-01,1990-02-28,187963,Pietermaritzburg Sobantu on Bayne S Spruit,1990-01-02,5100.0,,9.0,8.5,28.2,HIGH,Med,HIGH,HIGH
Pongola_Mtamvuna,1990-01-01,1990-02-28,187963,Pietermaritzburg Sobantu on Bayne S Spruit,1990-01-08,35000.0,,13.0,7.7,18.0,HIGH,HIGH,HIGH,HIGH
Pongola_Mtamvuna,1990-01-01,1990-02-28,187963,Pietermaritzburg Sobantu on Bayne S Spruit,1990-01-15,29000.0,,23.0,7.3,21.0,HIGH,HIGH,HIGH,HIGH
Pongola_Mtamvuna,1990-01-01,1990-02-28,187963,Pietermaritzburg Sobantu on Bayne S Spruit,1990-01-22,114000.0,,27.0,6.8,19.9,HIGH,HIGH,HIGH,HIGH
Pongola_Mtamvuna,1990-01-01,1990-02-28,187963,Pietermaritzburg Sobantu on Bayne S Spruit,1990-01-29,166000.0,,57.0,7.3,21.3,HIGH,HIGH,HIGH,HIGH
Pongola_Mtamvuna,1990-01-01,1990-02-28,187963,Pietermaritzburg Sobantu on Bayne S Spruit,1990-02-05,950000.0,,34.0,6.8,22.0,HIGH,HIGH,HIGH,HIGH
Pongola_Mtamvuna,1990-01-01,1990-02-28,187963,Pietermaritzburg Sobantu on Bayne S Spruit,1990-02-12,13000.0,,9.0,7.5,19.2,HIGH,Med,HIGH,HIGH
Pongola_Mtamvuna,1990-01-01,1990-02-28,187963,Pietermaritzburg Sobantu on Bayne S Spruit,1990-02-19,610000.0,,99.0,8.0,23.7,HIGH,HIGH,HIGH,HIGH
Pongola_Mtamvuna,1990-01-01,1990-02-28,187963,Pietermaritzburg Sobantu on Bayne S Spruit,1990-02-26,90000.0,,176.0,7.8,19.2,HIGH,HIGH,HIGH,HIGH
Pongola_Mtamvuna,1990-03-01,1990-04-30,102626,Msunduze River at Henley Dam,1990-03-05,6100.0,,50.0,7.9,20.7,HIGH,Med,HIGH,HIGH
Pongola_Mtamvuna,1990-03-01,1990-04-30,102626,Msunduze River at Henley Dam,1990-03-12,1600.0,,32.0,7.5,20.1,HIGH,low,HIGH,Med
Pongola_Mtamvuna,1990-03-01,1990-04-30,102626,Msunduze River at Henley Dam,1990-03-19,2400.0,,24.0,7.5,20.7,HIGH,Med,HIGH,Med
Pongola_Mtamvuna,1990-03-01,1990-04-30,102626,Msunduze River at Henley Dam,1990-03-26,32000.0,,170.0,7.8,18.1,HIGH,HIGH,HIGH,HIGH
Pongola_Mtamvuna,1990-03-01,1990-04-30,102626,Msunduze River at Henley Dam,1990-04-02,1300.0,,20.0,8.0,19.1,HIGH,low,HIGH,Med
Pongola_Mtamvuna,1990-03-01,1990-04-30,102626,Msunduze River at Henley Dam,1990-04-09,10600.0,,68.0,8.1,20.5,HIGH,Med,HIGH,HIGH
